neighbourhood,precio_promedio,disponibilidad_promedio,latitud,longitud,publicaciones,precio_normalizado,publicaciones_normalizado,color_publicaciones,color_precio
Parque Chacabuco,32863,200,-34.632609184154106,-58.43801083777629,80,0.08798847214594074,0.006414584740040513,#04bc86,#15d741
Parque Chas,37480,218,-34.58464592449456,-58.47653514576394,70,0.11525491794081344,0.005570560432140445,#04bc86,#18d943
Parque Patricios,30831,209,-34.63349966165032,-58.40280062553082,97,0.07598816505146785,0.007849426063470628,#06bc86,#14d640
Paternal,29112,202,-34.60100905741126,-58.46549782813341,54,0.06583633045727548,0.004220121539500338,#04bc86,#13d53f
Puerto Madero,101112,202,-34.613275058810494,-58.36248947640694,401,0.4910440621511968,0.03350776502363268,#0dc18b,#e96b6c
Recoleta,52143,209,-34.591649977923886,-58.399528316232235,5365,0.20184965363286855,0.4524814314652262,#66bf91,#20df4b
Retiro,62475,224,-34.594689745107324,-58.38020784597275,1691,0.26286696313094626,0.14238690074274138,#32d69e,#2fdc51
Saavedra,39457,198,-34.549519550018225,-58.47959345614153,266,0.1269304135735757,0.022113436866981768,#0abf88,#19da44
San Cristobal,57941,215,-34.622436991557535,-58.40179534919789,239,0.2360906873601096,0.019834571235651587,#0abf88,#24e14e
San Nicolas,72482,210,-34.603323762699254,-58.38225120719112,2344,0.3219649321734611,0.1975016880486158,#44e0a8,#5fbf58
San Telmo,187293,205,-34.620044655086836,-58.372242343863384,1021,1.0,0.08583727211343686,#1eca93,#9c0720
Velez Sarsfield,33092,161,-34.63246223169505,-58.491039427085404,23,0.08934086895924502,0.0016036461850101283,#03bb85,#15d741
Versalles,44174,94,-34.62973673585712,-58.5214944273289,9,0.15478742566246775,0.00042201215395003375,#03bb85,#1cdb46
Villa Crespo,127048,210,-34.597279449288095,-58.43889836266183,1261,0.6442133361680515,0.10609385550303849,#26cf98,#e53751
Villa Del Parque,36558,235,-34.60152436491407,-58.48839530813059,125,0.10980989670995518,0.010212694125590817,#06bc86,#18d843
Villa Devoto,37928,215,-34.59969328998668,-58.51250588927337,117,0.11790065493802007,0.009537474679270764,#06bc86,#18d943
Villa Gral. Mitre,30265,188,-34.608091210017044,-58.468119905475795,42,0.07264555982731842,0.0032072923700202567,#03bb85,#14d63f
Villa Lugano,27551,293,-34.670280245693185,-58.47434623002008,7,0.05661759060763366,0.00025320729237002026,#03bb85,#12d53e
Villa Ortuzar,90632,217,-34.581184165646185,-58.468587229164385,132,0.42915271453797044,0.010803511141120865,#06bc86,#b68a64
Villa Pueyrredon,28784,223,-34.585686050320874,-58.502209425170506,69,0.06389927301289207,0.0054861580013504385,#04bc86,#13d53f
Villa Real,21094,86,-34.6202350104844,-58.52682647749755,7,0.01848472500280519,0.00025320729237002026,#03bb85,#0fd23a
Villa Riachuelo,17964,90,-34.68904409398237,-58.47775570919017,4,0.0,0.0,#03bb85,#0dd139
Villa Santa Rita,35934,195,-34.61368781819522,-58.4812812565115,39,0.10612476303527453,0.0029540850776502365,#03bb85,#17d842
Villa Urquiza,33668,214,-34.57281265928966,-58.48523102199355,442,0.09274253081279639,0.036968264686022954,#0fc28b,#16d741
